,STUMPS - The Cricket scorer
,CCSl Season 1
,Tour ID: nozp4811
 
No.,Player Name,Team Name,Matches,POM Awards,Bat Innings,Runs Scored,Batting Avg,Bat SR,30s,50s,100s,High Score,6s,4s,Balls Faced,Not Outs,Most 6s by Inn.,Most 4s by Inn.,Fastest 50,Fastest 100,Bowl Inn,Wickets,Runs Conceded,Maiden,Bowl Avg,Bowl SR,Economy,3 Wkts,5 Wkts,Best Bowl,Balls Bowled,Dots Bowled,Catches,Stumpings,Run Outs
1,Aiyaz Ahamed,KNIGHT RIDERS,5,1,5,87,17.4,217.5,1,0,0,45,11,0,40,0,6,0,,,5,8,99,0,12.4,10.0,7.4,1,0, 3-14,80,40,2,0,0
2,Ariyan Haque,KNIGHT RIDERS,6,0,6,42,7.0,127.3,0,0,0,24,3,1,33,0,2,1,,,1,1,0,0,0.0,1.0,0.0,0,0, 1-0,1,1,4,0,0
3,Eshan Ali,KNIGHT RIDERS,6,0,5,20,4.0,166.7,0,0,0,13,3,0,12,0,2,0,,,5,3,75,0,25.0,18.0,8.3,0,0, 1-15,54,26,0,0,0
4,Shakil Ahmed,KNIGHT RIDERS,6,1,6,51,8.5,108.5,0,0,0,21,3,1,47,0,1,1,,,6,11,154,0,14.0,9.3,9.1,1,0, 3-34,102,55,6,0,2
5,Sheikh Izan Abid,KNIGHT RIDERS,2,0,2,29,14.5,96.7,0,0,0,27,1,1,30,0,1,1,,,0,0,0,0,0.0,0.0,0.0,0,0, 0,0,0,0,0,0
6,Arsan Sk,ROYAL CHALLENGERS,1,0,1,21,21.0,110.5,0,0,0,21,0,0,19,0,0,0,,,0,0,0,0,0.0,0.0,0.0,0,0, 0,0,0,1,0,0
7,Farhan Hossain,TEAM SUNRISERS,1,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0.0,0.0,0.0,0,0, 0,0,0,0,0,0
8,Jamil Akhtar,TEAM SUNRISERS,6,0,6,28,5.6,65.1,0,0,0,13*,1,0,43,1,1,0,,,5,1,52,0,52.0,36.0,8.7,0,0, 1-7,36,15,2,0,0
9,Khandakar Nur Kashif,TEAM SUNRISERS,6,2,6,74,12.3,185.0,1,0,0,30,7,4,40,0,2,4,,,5,7,63,0,9.0,6.6,8.2,1,0, 3-6,46,20,2,0,0
10,Rejuanur Rahaman,TEAM SUNRISERS,6,1,6,152,25.3,153.5,0,1,0,71,17,3,99,0,9,1,53 (20),,1,2,23,0,11.5,6.5,10.6,0,0, 2-23,13,5,6,0,0
11,Yasin Ali,TEAM SUNRISERS,6,1,6,47,7.8,77.0,0,0,0,19,4,0,61,0,1,0,,,7,12,127,0,10.6,6.9,9.2,2,0, 3-5,83,37,2,0,2
